run_id,wandb_run_name,state,D,seed,beta,mult,heldout_ll,eval_ll,final_step
mult-d-grid-20260718-151409-4365a75a,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n10subj,finished,10,0,0.0003,1,0.7035475373268127,0.7239204049110413,107560
mult-d-grid-20260718-151409-521d3632,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n10subj,finished,10,1,0.0003,1,0.6963046789169312,0.7535219788551331,107560
mult-d-grid-20260718-151409-c7037461,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n10subj,finished,10,0,0.001,1,0.7147340774536133,0.7262282967567444,107559
mult-d-grid-20260718-151409-4ee7d1d0,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n10subj,finished,10,1,0.001,1,0.7022813558578491,0.749462902545929,107560
mult-d-grid-20260718-151409-c1f9515f,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n10subj,finished,10,0,0.0003,2,0.695167064666748,0.7207211852073669,107562
mult-d-grid-20260718-151409-24186bfc,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n10subj,finished,10,1,0.0003,2,0.7081924676895142,0.7558470368385315,107568
mult-d-grid-20260718-151409-ffab411a,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n10subj,finished,10,0,0.001,2,0.7066962718963623,0.7238041162490845,107558
mult-d-grid-20260718-151409-f5a8de89,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n10subj,finished,10,1,0.001,2,0.7061306238174438,0.752054750919342,107578
mult-d-grid-20260718-151409-299bc18e,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n10subj,failed,10,0,0.0003,5,,0.7287701964378357,13031
mult-d-grid-20260718-151409-2f2cbd5a,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n10subj,finished,10,1,0.0003,5,0.7099677920341492,0.7562691569328308,107559
mult-d-grid-20260718-151409-44e89716,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n10subj,finished,10,0,0.001,5,0.7024619579315186,0.7234260439872742,107558
mult-d-grid-20260718-151409-3a4f8014,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n10subj,failed,10,1,0.001,5,,0.6617283225059509,13680
mult-d-grid-20260718-151409-409c1995,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n10subj,failed,10,0,0.0003,10,,0.6256696581840515,9420
mult-d-grid-20260718-151409-47e080fe,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n10subj,finished,10,1,0.0003,10,0.7108776569366455,0.7556134462356567,107559
mult-d-grid-20260718-151409-20ac5b3a,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n10subj,finished,10,0,0.001,10,0.7063097953796387,0.7255024313926697,107558
mult-d-grid-20260718-151409-4f721b3e,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n10subj,finished,10,1,0.001,10,0.705643355846405,0.7511276006698608,107558
mult-d-grid-20260718-151409-fc23cbfd,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n29subj,finished,29,0,0.0003,1,0.7107869982719421,0.7358949184417725,107561
mult-d-grid-20260718-151409-ad63c184,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n29subj,finished,29,0,0.001,1,0.7146406173706055,0.7334184646606445,107561
mult-d-grid-20260718-151409-46987656,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n29subj,finished,29,0,0.0003,2,0.7156596779823303,0.7384324669837952,107561
mult-d-grid-20260718-151409-746c9469,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n29subj,finished,29,0,0.001,2,0.7023011445999146,0.732984185218811,107559
mult-d-grid-20260718-151409-1267fa84,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n29subj,finished,29,0,0.0003,5,0.7119922041893005,0.7360446453094482,107559
mult-d-grid-20260718-151409-ffdce46f,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n29subj,finished,29,0,0.001,5,0.7162533402442932,0.7324471473693848,107559
mult-d-grid-20260718-151409-731498aa,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n29subj,finished,29,0,0.0003,10,0.7090882658958435,0.7358701229095459,107559
mult-d-grid-20260718-151409-73b56a50,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n29subj,finished,29,0,0.001,10,0.7159038782119751,0.7334562540054321,107559
mult-d-grid-20260718-151409-2c06cbb0,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n30subj,finished,30,1,0.0003,1,0.7145784497261047,0.7410818934440613,107560
mult-d-grid-20260718-151409-41ffd4b1,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n30subj,finished,30,1,0.001,1,0.712764322757721,0.73581463098526,107560
mult-d-grid-20260718-151409-545fc9ac,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n30subj,finished,30,1,0.0003,2,0.7117931246757507,0.7387109398841858,107560
